left	right
FCHSD2	MYO18A
FCHSD2	NDUFA6-AS1
FCHSD2	RNF25
FCHSD2	TECR
FCHSD2	TIMM44
FCHSD2	TNXB
FCHSD2	ELL
FGF7	SEC14L1
FGF7	SEPT9
FOCAD	MYO5B
FOCAD	PRPF18
FOXP1	RDH5
FOXP1	SNAPC3
FXYD2	GLYR1
FXYD2	MYO5B
FXYD2	NDUFA6-AS1
FXYD2	NT5C2
FXYD2	TECR
FXYD2	TNRC6B
FXYD2	TRIP4
FXYD2	USP20
FXYD6	GLYR1
FXYD6	HSD17B3
FXYD6	MYO5B
FXYD6	NDUFA6-AS1
FXYD6	NT5C2
FXYD6	TECR
FXYD6	TNRC6B
FXYD6	USP20
GLYR1	HSD17B3
GLYR1	MPZL2
GLYR1	MPZL3
GLYR1	NDUFA6-AS1
GLYR1	PHLDB1
GLYR1	RDH5
GLYR1	SCN4B
GLYR1	SVIL
GLYR1	TIMM44
GLYR1	TLN1
GLYR1	TUBGCP2
GLYR1	UBE4A
GLYR1	ELL
GLYR1	MLLT1
GLYR1	MLLT11
GLYR1	TNRC18
GLYR1	KMT2A
GNA12	NT5C2
GNA12	RNF115
GNA12	SRSF4
GNA12	ABI1
GNA12	MLLT10
GRIA4	MEF2C
GRIA4	NKAIN2
GRIP1	KIAA1731
GRIP1	SCGB1D1
GRIP1	TLN1
GRIP1	ZEB1
HELQ	HK1
HELQ	RASSF4
HELQ	TNXB
HELQ	UVRAG
HIPK3	TCF12
HK1	RSPH3
HK1	SCGB1D1
HK1	UBASH3B
HSD17B3	LPXN
HSD17B3	MPZL2
HSD17B3	MPZL3
HSD17B3	MYO18A
HSD17B3	PHLDB1
HSD17B3	SCN4B
HSD17B3	TUBGCP2
HSD17B3	UBE4A
HSD17B3	KMT2A
ITPKB	MPZL3
ITPKB	PHLDB1
ITPKB	RDH5
ITPKB	UBE4A
KDM2A	MCL1
KDM2A	MDM1
KDM2A	MED1
KDM2A	NDUFA6-AS1
KDM2A	PBRM1
KDM2A	PITPNA
KDM2A	SEC14L1
KDM2A	TIMM44
KDM2A	TNRC6B
KDM2A	TNRC6C
KDM2A	WDTC1
KDM2A	ZNF57
KDM2A	ELL
KDM2A	MLLT1
KDM2A	MLLT6
KDM2A	VAV1
KIF5B	PITPNA
KIF5B	PIWIL4
KIF5B	SRSF4
LMO2	PRPF18
LMO2	ABI1
MACF1	MALAT1
MACF1	NT5C2
MACF1	PITPNA
MACF1	RDH5
MACF1	RSPH3
MACF1	SEC14L1
MACF1	USP20
MALAT1	MED1
MALAT1	MRPL4
MALAT1	NDUFA6-AS1
MALAT1	PBRM1
MALAT1	PITPNA
MALAT1	RDH5
MALAT1	SEC14L1
MALAT1	SUN1
MALAT1	TECR
MALAT1	TIMM44
MALAT1	TLN1
MALAT1	TNRC6C
MALAT1	TRIP4
MALAT1	TUBGCP2
MALAT1	ZNF57
MALAT1	ELL
MALAT1	EPS15
MALAT1	MLLT1
MALAT1	MLLT11
MALAT1	MLLT6
MALAT1	SEPT9
MALAT1	VAV1
MCL1	NT5C2
MCL1	RDH5
MCL1	USP20
MCL1	ELL
MDM1	MED1
MDM1	MMP13
MDM1	SEC14L1
MDM1	TECR
MDM1	ZEB1
MDM1	MLLT11
MED1	NDUFA6-AS1
MED1	NDUFS3
MED1	PIP4K2A
MED1	PRPF18
MED1	RNF115
MED1	TECR
MED1	TNXB
MED1	USP20
MED1	WDTC1
MED1	ZNF57
MPZL2	MRPL4
MPZL2	NDUFA6-AS1
MPZL2	NT5C2
MPZL2	RNF25
MPZL2	TECR
MPZL2	TLN1
MPZL2	TNRC6B
MPZL2	USP20
MPZL2	AFF3
MPZL3	NDUFA6-AS1
MPZL3	NT5C2
MPZL3	RNF25
MPZL3	TECR
MPZL3	TLN1
MPZL3	TNRC6B
MPZL3	USP20
MPZL3	AFF3
MPZL3	MLLT1
MRPL4	MYO18A
MRPL4	PITPNA
MRPL4	RDH5
MRPL4	SEC14L1
MRPL4	TNRC6B
MRPL4	TNRC6C
MRPL4	TNXB
MRPL4	TUBGCP2
MYO18A	NT5C2
MYO18A	RNF25
MYO18A	RSPH3
MYO18A	SCGB1D1
MYO18A	WDTC1
MYO18A	ZNF57
MYO18A	ELL
MYO18A	MYO1F
MYO5B	SLC43A3
MYO5B	TPTE2P5
MYO5B	ZEB1
NAV2	SNAPC3
NCAM1	RSPH3
NCAM1	MLLT4
NDUFA6-AS1	PHLDB1
NDUFA6-AS1	PPP1R21
NDUFA6-AS1	RNF115
NDUFA6-AS1	SCN4B
NDUFA6-AS1	SEC14L1
NDUFA6-AS1	SIK3
NDUFA6-AS1	SORL1
NDUFA6-AS1	TECR
NDUFA6-AS1	TIMM44
NDUFA6-AS1	TNRC6C
NDUFA6-AS1	TNXB
NDUFA6-AS1	UBE4A
NDUFA6-AS1	UVRAG
NDUFA6-AS1	WDTC1
NDUFA6-AS1	WNK2
NDUFA6-AS1	MLLT6
NDUFA6-AS1	SEPT9
NDUFA6-AS1	VAV1
NDUFA6-AS1	KMT2A
NDUFS3	NT5C2
NDUFS3	TCF12
NDUFS3	TRIP4
NRG3	UGT8
NT5C2	PBRM1
NT5C2	PHLDB1
NT5C2	PITPNA
NT5C2	RABGAP1L
NT5C2	RDH5
NT5C2	RNF115
NT5C2	SCGB1D1
NT5C2	SCN4B
NT5C2	SRSF4
NT5C2	TNRC6C
NT5C2	TNXB
NT5C2	UBE4A
NT5C2	USP20
NT5C2	WDTC1
NT5C2	ZNF57
NT5C2	KMT2A
PBRM1	RDH5
PBRM1	RNF115
PBRM1	SCGB1D1
PBRM1	SEC14L1
PBRM1	SUN1
PBRM1	WDTC1
PBRM1	ELL
PBRM1	SEPT9
PHLDB1	RNF25
PHLDB1	TECR
PHLDB1	TNRC6B
PHLDB1	USP20
PHLDB1	ELL
PIP4K2A	UTRN
PITPNA	RDH5
PITPNA	TIMM44
PITPNA	TLN1
PITPNA	TNRC6B
PITPNA	TNXB
PITPNA	TUBGCP2
PITPNA	ZNF57
PITPNA	MLLT1
PITPNA	MYO1F
PITPNA	VAV1
PPP1R21	TUBGCP2
PRPF18	TPTE2P5
PRPF18	MLLT6
RABGAP1L	TPTE2P5
RASSF4	AFF1
RDH5	SEC14L1
RDH5	TIMM44
RDH5	TLN1
RDH5	TNXB
RDH5	UBE4A
RDH5	WDTC1
RDH5	ELL
RDH5	EPS15
RDH5	MLLT1
RDH5	MLLT11
RDH5	MLLT6
RDH5	MYO1F
RDH5	SEPT9
RDH5	VAV1
RNF115	TECR
RNF115	TIMM44
RNF115	TNRC6B
RNF115	UTRN
RNF115	UVRAG
RNF115	ELL
RNF115	MLLT1
RNF115	TNRC18
RNF25	SCN4B
RNF25	SIK3
RNF25	UBE4A
RNF25	MLLT11
RNF25	TNRC18
RNF25	KMT2A
RSPH3	SCN3B
RSPH3	SORL1
RSPH3	TRIP4
RSPH3	UBASH3B
RSPH3	MLLT3
RSPH3	SEPT6
SCAF8	SCN3B
SCAF8	UBASH3B
SCAF8	MLLT6
SCGB1D1	SUN1
SCGB1D1	TECR
SCGB1D1	TLN1
SCGB1D1	TNRC6B
SCGB1D1	TNXB
SCGB1D1	USP20
SCGB1D1	ZNF57
SCGB1D1	ELL
SCGB1D1	MLLT1
SCGB1D1	MLLT11
SCGB1D1	MYO1F
SCGB1D1	VAV1
SCN3B	TRIP4
SCN4B	TECR
SCN4B	TNRC6B
SCN4B	USP20
SCN4B	EPS15
SEC14L1	TECR
SEC14L1	TNXB
SEC14L1	TRIP4
SEC14L1	WDTC1
SEC14L1	ZNF57
SEC14L1	VAV1
SIK3	SNAPC3
SIK3	TCF12
SIK3	TNRC6B
SIK3	AFF3
SNAPC3	TRIP4
SORL1	TPTE2P5
SORL1	MLLT4
SRSF4	TNXB
SRSF4	MLLT6
SUN1	TECR
SUN1	UVRAG
SUN1	WDTC1
SUN1	MLLT1
SVIL	TPTE2P5
SVIL	UTRN
TCF12	MYO1F
TECR	TNXB
TECR	UBE4A
TECR	WDTC1
TECR	MLLT6
TECR	SEPT9
TECR	TNRC18
TECR	KMT2A
TIMM44	TNRC6B
TIMM44	TNRC6C
TIMM44	TNXB
TIMM44	USP20
TLN1	UBE4A
TLN1	AFF3
TLN1	ELL
TLN1	MYO1F
TLN1	KMT2A
TNRC6B	TNXB
TNRC6B	TRIP4
TNRC6B	UBE4A
TNRC6B	USP20
TNRC6B	WDTC1
TNRC6B	EPS15
TNRC6B	MLLT1
TNRC6B	MYO1F
TNRC6B	VAV1
TNRC6B	KMT2A
TNRC6C	TNXB
TNRC6C	TUBGCP2
TNRC6C	ZNF57
TNRC6C	EPS15
TNRC6C	MYO1F
TNRC6C	VAV1
TNXB	MLLT1
TNXB	MLLT11
TNXB	MYO1F
TNXB	TNRC18
TNXB	VAV1
TPTE2P5	MLLT10
TPTE2P5	MLLT11
TPTE2P5	MLLT3
TRIP4	UVRAG
TRIP4	ELL
TRIP4	MLLT1
TRIP4	MLLT6
TRIP4	MYO1F
TRIP4	SEPT9
TUBGCP2	USP20
UBE4A	USP20
UBE4A	AFF3
UBE4A	ELL
UBE4A	MLLT1
USP20	WDTC1
USP20	MLLT6
USP20	MYO1F
USP20	VAV1
USP20	KMT2A
UTRN	WNK2
UVRAG	VAV1
WDTC1	WNK2
WDTC1	ZNF57
WDTC1	MLLT1
WDTC1	MLLT6
WDTC1	SEPT9
WDTC1	VAV1
ZNF57	MLLT11
ZNF57	MLLT6
ZNF57	SEPT9
AFF3	KMT2A
ELL	MLLT11
ELL	MLLT6
ELL	KMT2A
EPS15	PICALM
EPS15	SEPT6
MLLT1	KMT2A
MLLT11	MLLT6
MLLT11	SEPT9
SEPT9	VAV1
